city,state,place,pct_non_white
Desert Shores,California,19024,62.89198606271778
Ocotillo,California,53378,0.0
Bolinas,California,07316,9.77653631284916
Corte Madera town,California,16462,16.720878227281965
Bodfish,California,07274,10.788177339901473
Delano,California,18394,29.323450440570287
Channel Islands Beach,California,12669,7.816804407713496
Golden Hills,California,30282,10.116565073254202
Keene,California,37946,0.0
Kirkwood,California,38646,28.749999999999996
San Luis Obispo,California,68154,16.21073104731301
Edgewood,California,21530,0.0
Gazelle,California,29252,0.0
Los Gatos town,California,44112,21.3934719645937
Loyola,California,44378,38.194238194238196
Stanford,California,73906,43.574666176650744
Alpine,California,01192,9.678720258099204
Camp Pendleton North,California,10559,19.75023754581241
Dorris,California,19584,10.682819383259911
Cambria,California,10074,12.555339118115816
Pismo Beach,California,57414,11.77261613691931
Tulelake,California,80686,0.8313539192399078
Palo Alto,California,55282,41.05568323494509
Shafter,California,71106,19.036355221885128
Catalina,Arizona,11160,6.611883691529707
Green Valley,Arizona,29710,1.7175389914840689
Tucson,Arizona,77000,27.946635345219228
Valencia West,Arizona,78760,37.43641912512716
Fortuna Foothills,Arizona,25030,15.690201969621098
Casa Grande,Arizona,10530,26.381327152175082
Ali Chukson,Arizona,01570,100.0
Ali Molina,Arizona,01620,100.0
Anthem,Arizona,02430,6.742923268648749
Alpine,Arizona,01920,0.0
Anegam,Arizona,02270,100.0
Antares,Arizona,02410,3.6144578313253017
Arivaca,Arizona,03320,3.596127247579528
Arivaca Junction,Arizona,03380,15.625
Arlington,Arizona,04020,16.249999999999996
Avenue B and C,Arizona,04710,21.3062944429813
Aztec,Arizona,04930,
Bear Flat,Arizona,05450,
Beaver Dam,Arizona,05490,4.077094143810234
Beaver Valley,Arizona,05495,0.0
Brenda,Arizona,07590,0.0
Buckshot,Arizona,08020,0.0
Beyerville,Arizona,05970,15.151515151515149
Bowie,Arizona,07380,4.1666666666666625
Bryce,Arizona,07915,0.0
Bylas,Arizona,08710,97.9253112033195
Cactus Flats,Arizona,08920,1.2390670553935834
Cane Beds,Arizona,09900,0.0
Carrizo,Arizona,10320,100.0
Casa Blanca,Arizona,10460,95.91633466135458
Cactus Forest,Arizona,08990,4.223744292237441
Campo Bonito,Arizona,09580,0.0
Cedar Creek,Arizona,11370,100.0
Centennial Park,Arizona,11500,0.0
Central,Arizona,11580,0.0
Charco,Arizona,12150,100.0
Davis,California,18100,35.385086733875085
Sierra Brooks,California,71774,7.534246575342463
Sierra City,California,71778,0.0
Sierra Village,California,71834,0.0
Sierraville,California,71848,10.588235294117643
Silverado Resort,California,71927,2.5540275049115935
Silver City,California,71932,
Silver Lakes,California,71964,18.34501624209266
Sisquoc,California,72086,14.792899408284022
Sky Valley,California,72156,12.932195779074984
Sleepy Hollow,California,72184,8.358996920369554
Smartsville,California,72282,7.490636704119846
Smith Corner,California,72338,0.0
Smith River,California,72380,18.473895582329313
Snelling,California,72408,18.487394957983195
Soda Bay,California,72478,19.248291571753985
Soda Springs,California,72492,100.0
South Monrovia Island,California,73167,54.61046865489958
Spaulding,California,73554,0.0
Spring Valley CDP (Lake County),California,73690,21.663619744058504
Spring Valley CDP (San Diego County),California,73696,39.35860979462875
Spring Valley Lake,California,73700,14.256813042960847
Stevenson Ranch,California,74130,40.37749621982376
Stevinson,California,74144,18.07909604519774
Stirling City,California,74186,0.0
Stonyford,California,75154,2.1739130434782594
Strawberry CDP (Marin County),California,75315,23.014293468427717
Strawberry CDP (Tuolumne County),California,75322,40.0
Sugarloaf Mountain Park,California,75588,
Sugarloaf Saw Mill,California,75592,
Sugarloaf Village,California,75596,0.0
Sultana,California,75672,27.345309381237527
Sunnyside,California,75994,26.12007168458781
Sunny Slopes,California,76040,0.0
Sun Village,California,77308,42.20276431000796
Swall Meadows,California,77430,0.0
Tahoma,California,77728,12.422997946611913
Tarpey Village,California,77960,33.99833748960931
Terminous,California,78232,22.197309417040355
Rossmoor,California,63050,22.402947519769945
Tustin,California,80854,51.022375818589325
Beale AFB,California,04576,28.431372549019606
Ashland,California,02980,61.81334424887434
Diablo,California,19150,0.0
Alamo,California,00618,14.451526333445152
Byron,California,09346,35.122699386503065
Richmond,California,60620,63.53973280914419
Vine Hill,California,82842,36.41276376737005
Hilmar-Irwin,California,33861,24.865334491746303
Lost Hills,California,44280,7.647740440324446
Cloverdale,California,14190,24.228923920493482
Castro Valley,California,11964,46.757018393030016
Calwa,California,10032,38.05648635710867
Clovis,California,14218,30.696225723708316
Glen Ellen,California,30028,12.67029972752044
Rohnert Park,California,62546,26.11766351219057
Chico,California,13014,18.045255953199547
Oroville East,California,54388,19.122378072320167
Doyle,California,19878,0.0
Drytown,California,19976,0.0
Dunnigan,California,20228,14.324880054832079
Dutch Flat,California,20298,0.0
Eagleville,California,20424,9.615384615384615
East Nicolaus,California,20900,2.197802197802201
East Rancho Dominguez,California,21034,59.63145896656534
